PWY-6684	aromatic  glucosinolate activation
PWY-6571	dermatan sulfate biosynthesis
PWY-6568	dermatan sulfate biosynthesis (late stages)
PWY-6557	glycosaminoglycan-protein linkage region biosynthesis
PWY-6564	heparan sulfate biosynthesis
PWY-6558	heparan sulfate biosynthesis (late stages)
PWY-6773	1,3-beta-D-glucan biosynthesis
PWY-6658	acetan biosynthesis
PWY-6403	carrageenan biosynthesis
PWY-1001	cellulose biosynthesis
PWY-6981	chitin biosynthesis
PWY-822	fructan biosynthesis
PWY-1061	homogalacturonan biosynthesis
PWY-5980	xylogalacturonan biosynthesis
PWY-5936	xyloglucan biosynthesis
PWY-7832	ABH and Lewis epitopes biosynthesis from type 1 precursor disaccharide
PWY-7831	ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide
PWY-7981	alpha-dystroglycan glycosylation
PWY-7833	biosynthesis of Lewis epitopes (H. pylori)
PWY-7920	complex N-linked glycan biosynthesis (plants)
PWY-7426	complex N-linked glycan biosynthesis (vertebrates)
PWY-7837	i antigen and I antigen biosynthesis
PWY-7433	mucin core 1 and core 2 O-glycosylation
PWY-7435	mucin core 3 and core 4 O-glycosylation
PWY-7031	protein N-glycosylation (bacterial)
PWY-7661	protein N-glycosylation (Haloferax volcanii)
PWY-7658	protein N-glycosylation (Methanococcus voltae)
PWY-7919	protein N-glycosylation processing phase (plants and animals)
PWY-7918	protein N-glycosylation processing phase (yeast)
PWY-7037	protein O-glycosylation (Neisseria)
PWY-7921	protein O-mannosylation I (yeast)
PWY-7922	protein O-mannosylation II (mammals, core M1 and core M2)
PWY-7979	protein O-mannosylation III (mammals, core M3)
PWY-7437	protein O-[N-acetyl]-glucosylation
PWY-7434	terminal O-glycans residues modification (via type 2 precursor disaccharide)
PWY-6655	xanthan biosynthesis
PWY-5750	itaconate biosynthesis I
PWY-8018	itaconate biosynthesis II
PWY-7035	(9Z)-tricosene biosynthesis
PWY-7869	cis-alkene biosynthesis
PWY-7026	terminal olefins biosynthesis I
PWY-7029	terminal olefins biosynthesis II
PWY-7027	hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis
PWY-7943	lycopadiene biosynthesis
PWY-5342	ajugose biosynthesis I (galactinol-dependent)
PWY-5343	ajugose biosynthesis II (galactinol-independent)
PWY-6524	lychnose and isolychnose biosynthesis
PWY-6116	mannosylfructose biosynthesis
PWY-5337	stachyose biosynthesis
PWY-6525	stellariose and mediose biosynthesis
PWY-6142	gluconeogenesis II (Methanobacterium thermoautotrophicum)
PWY-7238	sucrose biosynthesis II
PWY-7347	sucrose biosynthesis III
PWY-5833	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis
PWY-8139	CDP-6-deoxy-D-gulose biosynthesis
PWY-5831	CDP-abequose biosynthesis
PWY-5830	CDP-ascarylose biosynthesis
PWY-6998	CDP-D-arabitol biosynthesis
PWY-7127	CDP-D-mannitol biosynthesis
PWY-5832	CDP-paratose biosynthesis
PWY-5834	CDP-tyvelose biosynthesis
PWY-5823	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis
PWY-7674	CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis
PWY-6749	CMP-legionaminate biosynthesis I
PWY-7131	CMP-legionaminate biosynthesis II
PWY-6138	CMP-N-acetylneuraminate biosynthesis I (eukaryotes)
PWY-6139	CMP-N-acetylneuraminate biosynthesis II (bacteria)
PWY-6140	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis
PWY-7719	CMP-diacetamido-8-epilegionaminic acid biosynthesis
PWY-7529	CMP-N-acetyl-7-O-acetylneuraminate biosynthesis
PWY-6144	CMP-N-glycoloylneuraminate biosynthesis
PWY-6143	CMP-pseudaminate biosynthesis
PWY-6145	superpathway of CMP-sialic acids biosynthesis
PWY-7318	dTDP-3-acetamido-3,6-dideoxy-alpha-D-glucose biosynthesis
PWY-6953	dTDP-3-acetamido-alpha-D-fucose biosynthesis
PWY-7301	dTDP-4-O-demethyl-beta-L-noviose biosynthesis
PWY-7413	dTDP-6-deoxy-alpha-D-allose biosynthesis
PWY-7414	dTDP-alpha-D-mycaminose biosynthesis
PWY-7440	dTDP-beta-L-4-epi-vancosamine biosynthesis
PWY-7657	dTDP-beta-L-digitoxose biosynthesis
PWY-7439	dTDP-beta-L-evernitrose biosynthesis
PWY-7312	dTDP-D-beta-fucofuranose biosynthesis
PWY-6942	dTDP-D-desosamine biosynthesis
PWY-6973	dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis
PWY-7688	dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis
PWY-7814	dTDP-L-daunosamine biosynthesis
PWY-7104	dTDP-L-megosamine biosynthesis
PWY-6976	dTDP-L-mycarose biosynthesis
PWY-6974	dTDP-L-olivose biosynthesis
PWY-7315	dTDP-N-acetylthomosamine biosynthesis
PWY-7316	dTDP-N-acetylviosamine biosynthesis
PWY-7438	superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis
PWY-7317	superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis
PWY-7610	GDP-6-deoxy-D-altro-heptose biosynthesis
PWY-7613	GDP-6-deoxy-D-manno-heptose biosynthesis
PWY-5738	GDP-6-deoxy-D-talose biosynthesis
PWY-6478	GDP-D-glycero-alpha-D-manno-heptose biosynthesis
PWY-5739	GDP-D-perosamine biosynthesis
PWY-5661	GDP-glucose biosynthesis
PWY-5740	GDP-L-colitose biosynthesis
PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-6	GDP-L-fucose biosynthesis II (from L-fucose)
PWY-5115	GDP-L-galactose biosynthesis
PWY-5659	GDP-mannose biosynthesis
PWY-7573	GDP-mycosamine biosynthesis
PWY-7323	superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis
PWY-5512	UDP-N-acetyl-D-galactosamine biosynthesis I
PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II
PWY-8013	UDP-N-acetyl-D-galactosamine biosynthesis III
PWY-7328	superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis
PWY-7332	superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis
PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate biosynthesis
PWY-7622	UDP-alpha-D-galactofuranose biosynthesis
PWY-7344	UDP-alpha-D-galactose biosynthesis
PWY-4861	UDP-alpha-D-galacturonate biosynthesis I (from UDP-D-glucuronate)
PWY-4	UDP-alpha-D-galacturonate biosynthesis II (from D-galacturonate)
PWY-7343	UDP-alpha-D-glucose biosynthesis I
PWY-4841	UDP-alpha-D-glucuronate biosynthesis (from myo-inositol)
PWY-7346	UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose)
PWY-4821	UDP-alpha-D-xylose biosynthesis
PWY-63	UDP-beta-L-arabinose biosynthesis I (from UDP-alpha-D-xylose)
PWY-82	UDP-beta-L-arabinose biosynthesis II (from beta-L-arabinose)
PWY-3261	UDP-beta-L-rhamnose biosynthesis
PWY-5113	UDP-D-apiose biosynthesis (from UDP-D-glucuronate)
PWY-7028	UDP-N,N'-diacetylbacillosamine biosynthesis
PWY-7333	UDP-N-acetyl-alpha-D-fucosamine biosynthesis
PWY-7336	UDP-N-acetyl-alpha-D-galactosaminuronate biosynthesis
PWY-7335	UDP-N-acetyl-alpha-D-mannosaminouronate biosynthesis
PWY-7334	UDP-N-acetyl-alpha-D-quinovosamine biosynthesis
PWY-7330	UDP-N-acetyl-beta-L-fucosamine biosynthesis
PWY-7331	UDP-N-acetyl-beta-L-quinovosamine biosynthesis
PWY-7842	UDP-yelosamine biosynthesis
PWY-881	trehalose biosynthesis II
PWY-2622	trehalose biosynthesis IV
PWY-2661	trehalose biosynthesis V
PWY-5983	trehalose biosynthesis VI
PWY-5985	trehalose biosynthesis VII
PWY-5782	2-keto-L-gulonate biosynthesis
PWY-8044	cyclohexane-1-carboxyl-CoA biosynthesis
PWY-5265	peptidoglycan biosynthesis II (staphylococci)
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)
PWY-6470	peptidoglycan biosynthesis V (beta-lactam resistance)
PWY-6459	peptidoglycan cross-bridge biosynthesis I (S. aureus)
PWY-6461	peptidoglycan cross-bridge biosynthesis II (E. faecium)
PWY-6462	peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)
PWY-6463	peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)
PWY-7467	2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-galactosyl-diphospho-ditrans,octacis-undecaprenol biosynthesis
PWY-7819	poly(3-O-beta-D-glucopyranosyl-N-acetylgalactosamine 1-phosphate) wall teichoic acid biosynthesis
PWY-7815	poly(ribitol phosphate) wall teichoic acid biosynthesis I (B. subtilis)
PWY-7816	poly(ribitol phosphate) wall teichoic acid biosynthesis II (S. aureus)
PWY-7817	type I lipoteichoic acid biosynthesis (S. aureus)
PWY-7818	type IV lipoteichoic acid biosynthesis (S. pneumoniae)
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
PWY-7953	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)
PWY-6626	cytidine-5'-diphosphate-glycerol biosynthesis
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-6404	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis
PWY-7820	teichuronic acid biosynthesis (B. subtilis 168)
PWY-6454	vancomycin resistance I
PWY-6455	vancomycin resistance II
PWY-7675	Kdo transfer to lipid IVA II (Haemophilus)
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)
PWY-8074	Kdo transfer to lipid IVA IV (P. putida)
PWY-7676	Kdo8N transfer to lipid IVA
PWY-7530	beta-D-galactosaminyl-(1-&gt;3)-N-acetyl-alpha-D-galactosamine biosynthesis
PWY-7290	Escherichia coli serotype O86 O-antigen biosynthesis
PWY-7905	Escherichia coli serotype O9a O-antigen biosynthesis
PWY-8073	lipid IVA biosynthesis (P. putida)
PWY-282	cuticular wax biosynthesis
PWY-321	cutin biosynthesis
PWY-361	phenylpropanoid biosynthesis
PWY-5800	xylan biosynthesis
PWY-7120	esterified suberin biosynthesis
PWY-6733	sporopollenin precursors biosynthesis
PWY-1121	suberin monomers biosynthesis
PWY-8133	succinoglycan biosynthesis
PWY-3961	phosphopantothenate biosynthesis II
PWY-6654	phosphopantothenate biosynthesis III (archaebacteria)
PWY-7851	coenzyme A biosynthesis II (eukaryotic)
PWY-4221	superpathway of coenzyme A biosynthesis II (plants)
PWY-1	superpathway of coenzyme A biosynthesis III (mammals)
PWY-8113	3PG-factor 420 biosynthesis
PWY-8112	factor 420 biosynthesis I (archaea)
PWY-5198	factor 420 biosynthesis II (mycobacteria)
PWY-5199	factor 420 polyglutamylation
PWY-6167	flavin biosynthesis II (archaea)
PWY-6168	flavin biosynthesis III (fungi)
PWY-5653	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
PWY-7761	NAD salvage pathway II (PNC IV cycle)
PWY-3502	superpathway of NAD biosynthesis in eukaryotes
PWY-5083	NAD/NADH phosphorylation and dephosphorylation
PWY-7268	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)
PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
PWY-8148	NADP biosynthesis
PWY-5381	pyridine nucleotide cycling (plants)
PWY-7245	superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis
PWY-7374	1,4-dihydroxy-6-naphthoate biosynthesis I
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II
PWY-7997	demethylmenaquinol-4 biosynthesis
PWY-5853	demethylmenaquinol-6 biosynthesis I
PWY-7372	demethylmenaquinol-6 biosynthesis II
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I
PWY-7373	superpathway of demethylmenaquinol-6 biosynthesis II
PWY-5852	demethylmenaquinol-8 biosynthesis I
PWY-6262	demethylmenaquinol-8 biosynthesis II
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis I
PWY-5851	demethylmenaquinol-9 biosynthesis
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis
PWY-5890	menaquinol-10 biosynthesis
PWY-5891	menaquinol-11 biosynthesis
PWY-5892	menaquinol-12 biosynthesis
PWY-5895	menaquinol-13 biosynthesis
PWY-7996	menaquinol-4 biosynthesis I
PWY-7998	menaquinol-4 biosynthesis II
PWY-5849	menaquinol-6 biosynthesis
PWY-5839	menaquinol-7 biosynthesis
PWY-5844	menaquinol-9 biosynthesis
PWY-5896	superpathway of menaquinol-10 biosynthesis
PWY-5897	superpathway of menaquinol-11 biosynthesis
PWY-5898	superpathway of menaquinol-12 biosynthesis
PWY-5899	superpathway of menaquinol-13 biosynthesis
PWY-5850	superpathway of menaquinol-6 biosynthesis
PWY-5840	superpathway of menaquinol-7 biosynthesis
PWY-5838	superpathway of menaquinol-8 biosynthesis I
PWY-6263	superpathway of menaquinol-8 biosynthesis II
PWY-7992	superpathway of menaquinol-8 biosynthesis III
PWY-5845	superpathway of menaquinol-9 biosynthesis
PWY-5027	phylloquinol biosynthesis
PWY-5863	superpathway of phylloquinol biosynthesis
PWY-1581	plastoquinol-9 biosynthesis I
PWY-6978	plastoquinol-9 biosynthesis II
PWY-5864	superpathway of plastoquinol biosynthesis
PWY-5888	rhodoquinone-10 biosynthesis
PWY-5889	rhodoquinone-9 biosynthesis
PWY-7235	superpathway of ubiquinol-6 biosynthesis (eukaryotic)
PWY-5872	ubiquinol-10 biosynthesis (eukaryotic)
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)
PWY-7230	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)
PWY-7233	ubiquinol-6 bypass biosynthesis (eukaryotic)
PWY-5873	ubiquinol-7 biosynthesis (eukaryotic)
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)
PWY-5870	ubiquinol-8 biosynthesis (eukaryotic)
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic)
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)
PWY-7864	8-methylmenaquinone biosynthesis
PWY-7993	beta-dihydromenaquinone-9 biosynthesis
PWY-7781	omega-sulfo-II-dihydromenaquinone-9 biosynthesis
PWY-1422	vitamin E biosynthesis (tocopherols)
PWY-7436	vitamin E biosynthesis (tocotrienols)
PWY-4041	gamma-glutamyl cycle
PWY-4181	glutathione amide metabolism
PWY-4081	glutathione-peroxide redox reactions
PWY-6840	homoglutathione biosynthesis
PWY-5254	methanofuran biosynthesis
PWY-8122	mycofactocin biosynthesis
PWY-5785	di-trans,poly-cis-undecaprenyl phosphate biosynthesis
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis
PWY-5207	coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)
PWY-7865	coenzyme B/coenzyme M regeneration II (ferredoxin-dependent)
PWY-7866	coenzyme B/coenzyme M regeneration III (coenzyme F420-dependent)
PWY-7867	coenzyme B/coenzyme M regeneration IV (H2-dependent)
PWY-7868	coenzyme B/coenzyme M regeneration V (formate-dependent)
PWY-6643	coenzyme M biosynthesis II
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6797	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (Methanocaldococcus)
PWY-7539	6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)
PWY-7852	6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)
PWY-7853	6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (Pyrococcus)
PWY-2201	folate transformations I
PWY-3841	folate transformations II (plants)
PWY-6543	4-aminobenzoate biosynthesis
PWY-2161	folate polyglutamylation
PWY-2161B	glutamate removal from folates
PWY-6612	superpathway of tetrahydrofolate biosynthesis
PWY-6614	tetrahydrofolate biosynthesis
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate
PWY-6148	tetrahydromethanopterin biosynthesis
PWY-5796	malonate decarboxylase activation
PWY-8099	tetrahydropteridine recycling
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)
PWY-5521	L-ascorbate biosynthesis III
PWY-6415	L-ascorbate biosynthesis V
PWY-7165	L-ascorbate biosynthesis VI (engineered pathway)
PWY-7380	biotin biosynthesis from 8-amino-7-oxononanoate II
PWY-8128	biotin biosynthesis from 8-amino-7-oxononanoate III
PWY-5005	biotin biosynthesis II
PWY-7377	cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)
PWY-7376	cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)
PWY-5507	adenosylcobalamin biosynthesis I (anaerobic)
PWY-7965	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7963	4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7969	5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7966	5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7967	5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7968	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
PWY-7964	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
