4.99.1.M4	phenylacetonitrile-specifying protein	RXN-12025+RXN-8136+RXNQT-4351
2.4.1.-	brassinolide 23-O-glucosyltransferase	RXNQT-4397+RXNQT-4398+RXN-10690+RXN-12919+RXN-11659+RXN-11658+RXN-11792+RXN-1802+RXN-9463+RXN0-5061+RXN0-5120+RXN-8288+RXN-8286+RXN-8285+RXN-13316+RXN-13318+RXN-13314+RXN-13315+RXN-13317+RXN-11072+RXN-11075+RXN-18065+RXN-18066+RXN-18067+RXN-21322+RXN-21323+RXN-21325+RXN-21326+RXN-21327+RXN-21328+RXN-18298+RXN-18300+RXN-13885+RXN-13886+RXN-16940+RXN-11660+RXN-7064+RXN-13813+RXN-13814+RXN-7063+RXN18C3-58+RXN18C3-54+RXN-8435+RXN-8178+RXN-8177+RXN-8176+RXN-4737+RXN-4726+RXN-4736+RXN-4733+RXN-4731+RXN-4729+RXN-4727+RXN-4724+RXN-4721+RXN-4734+RXN-4732+RXN-4730+RXN-4728+RXN-4725+RXN-4722+RXN-91+RXN-11301+RXN-8005+RXN-8205+RXN-8006+RXN-7828+RXN-15371+RXN-15391+RXN-11853+RXN-8479+RXN-8481+RXN-15971+RXN1F-474+RXN1F-475+RXN-8266+RXN-13830+RXN-14008+RXN-8270+RXN1F-443+RXN-14009+RXN-8267+RXNQT-4162+RXN-8268+RXN-8271+RXNQT-4161+RXN-13797+RXN-14012+RXN-14011+RXN18C3-9+RXN18C3-10+RXN18C3-11+RXN18C3-13+RXN-13661
No EC#	brassinolide C-26 hydroxylase	RXN-11541+RXN-18479+RXN-18480+RXN-7985+RXN-7978+RXN-7979+RXN-7984+RXN-18859+RXN-18875+RXN-18866+RXN-18865+RXN-18842+RXN-18847+RXN-18877+RXN-18848+RXN-18860+RXN-18874+RXN-18862+RXN-18872+RXN-18873+RXN-9679+RXN-15865+RXN-13414+RXN-13415+RXN-13416+RXN-13417+RXN-18182+RXN-18183+RXN-14464+RXN-15122+3-ISOPROPYLMALISOM-RXN+RXN-8991+3-ISOPROPYLMALDEHYDROG-RXN+RXN-15131+RXN-20082+RXN-20083+RXN-20080+RXN-20081+RXN-2006+RXN-19094+RXN-19095+RXN-19096+RXN-19112+RXN-19113+RXN-19061+RXN-19062+RXN-19080+RXN-19081+RXN-19082+RXN-12131+RXN-10825+RXN-11805+RXN-11806+RXN-11807+RXN-11800+RXN-11801+RXN-9462+RXN-19159+FCLEPIM-RXN+FCLREDUCT-RXN+RXN-11079+RXN-11082+RXN-11094+RXN-11093+TRANS-RXN-322+TRANS-RXN0-279+RXN-16407+RXN-21329+RXN-21331+RXN-21523+RXN-21524+RXN-21525+RXN-8675+RXN-19043+RXN-19044+RXN-19045+RXN-19047+RXN-19048+RXN-19049+RXN-11177+RXN-14381+RXN-14387+RXN-14388+RXN-14389+RXN-14390+RXN1G-288+RXN1G-807+RXN1G-290+RXN1G-809+RXN1G-289+RXN1G-808+RXN1G-291+RXN1G-810+RXN1G-3667+RXN1G-292+RXN1G-811+RXN-11763+RXN-11764+RXN-14406+RXN-10935+RXN0-7012+RXN-9842+RXN-9843+RXN-9844+RXN-9846+RXN-9848+CHOLESTANETRIOL-26-MONOOXYGENASE-RXN+CHOLESTANETETRAOL-26-DEHYDROGENASE-RXN+1.2.1.40-RXN+RXN-21827+RXN-21828+RXN-21165+RXN-21166+RXN-21167+RXN-21833+RXN-21834+RXN-21835+RXN-21159+RXN-21160+RXN-21161+RXN-21168+RXN-21169+RXN-21170+RXN-21162+RXN-21163+RXN-21164+RXN66-281+RXN66-303+RXN66-304+RXN66-305+RXN66-310+RXN66-311+RXN66-312+RXN66-315+RXN66-316+RXN66-317+RXN66-11+RXN66-12+RXN66-13+RXN66-15+RXN66-16+RXN66-17+RXN66-20+RXN66-21+RXN66-22+RXN-11926+RXN-11925+RXN-11927+RXN-19831+RXN-19832+RXN-19833+RXN-11930+RXN-11931+RXN-11932+RXN-4222+RXN-11935+RXN-11936+RXN-11937+RXN-4221+RXN-4224+RXN-20128+RXN-20129+RXN-20120+RXN-20121+RXN-20122+RXN-20112+RXN-20113+RXN-20114+RXN-1022+RXN-18532+RXN-17320+RXN-18540+RXN-17209+RXN-17210+RXN-17238+RXN-18536+RXN-17213+RXN-18538+RXN-18544+RXN-13565+RXN-13567+RXN-13456+RXN-15671+RXN-15511+RXN-11406+RXN-11404+RXN-18088+RXN66-345+RXN66-346+RXN66-348+RXN66-349+RXN66-338+RXN66-339+RXN66-347+RXN66-344+RXN-10477+RXN-10474+RXN-12061+RXN-12062+RXN-19840+RXN-19841+RXN-19839+RXN-20999+RXN-21007+RXN-21008+RXN-16864+RXN-16867+RXN-10735+RXN-17190+RXN-9376+RXN-11115+ENTF-RXN+RXN-21127+RXN-21129+RXN-16905+RXN-21123+RXN-21124+RXN-21151+RXN-21125+RXN-21118+RXN-21117+RXN-21111+RXN-21105+RXN-21109+RXN-21106+RXN-21107+RXN-21108+RXN-21114+RXN-21112+RXN-21115+RXN-21116+RXN-21119+RXN-21121+RXN-21122+RXN-21120+RXN-21126+RXN-21128+RXN-21130+RXN-21131+TRANS-RXN-393+RXN-21152+RXN-11254+RXN-21157+RXN-21158+RXN-21154+RXN-21156+RXN-21155+RXN-21592+RXN-16718+RXN-16743+RXN-20493+RXN-20494+RXN-20495+RXN-20486+RXN-20487+RXN-20488+RXN-20244+RXN-11722+RXN-11712+RXN-20272+RXN-16578+RXN-9377+RXN-19454+RXN-19446+RXN-19489+RXN-11010+RXN-11012+RXN-19463+RXN-19458+RXN-19452+DHBAMPLIG-RXN+RXN-19449+RXN-10995+RXN-10996+RXN-11014+RXN-11013+RXN-10997+RXN-15890+RXN0-6442+RXN-15891+ENTG-RXN+RXN-10682+RXN-10675+RXN-10676+RXN-10679+RXN-11113+RXN-19435+RXN-19434+RXN-19439+RXN-11117+RXN-19466+RXN-11125+RXN-19469+RXN-11118+RXN-11120+RXN-11121+RXN-11122+RXN-11123+RXN-11127+RXN-20771+RXN-20772+RXN-19498+RXN-19499+RXN-10991+RXN-10990+RXN-10992+RXN-10993+RXN-13663+RXN-13662+RXN-19484+RXN-18803+RXN-18809+RXN-11389+RXN-11399+RXN-15494+RXN-15497+RXN-15498+RXN-15480+RXN-15483+RXN-15484+RXN-15485+RXN-9492+RXN-9487+RXN-15716+RXN-17708+RXN-17709+RXN-17702+RXN-17707+RXN-17705+RXN-13867+RXN-21519+RXN-21517+RXN-19263+RXN-19091+RXN-19092+RXN-12370+RXN-17367+RXN-13340+RXN-14251+RXN-14255+UROPORIIIMETHYLTRANSA-RXN+RXN-11317+L-LACTDEHYDROGFMN-RXN+RXN-8632+LACTALDEHYDE-OXI-RXN+RXN-20065+RXN-8941+RXN-8942+RXN-8946+RXN-8945+PUTTRANSAM-RXN+RXN-15823+RXN-15822+RXN-10895+RXN-10896+PHENOLPHOS-RXN+PHENYLPCARB-RXN+RXN-15012+RXN-15013+RXN-622+RXN-623+RXN-11506+RXN-1304+RXN-942+RXN-10883+RXN-10889+RXN-2884+RXN-19188+RXN-19189+RXN-19190+RXN-18598+RXN-18599+GLUTACONYL-COA-DECARBOXYLASE-RXN+RXN-20887+LIND-RXN+LINE-RXN+26DICHDIOX-RXN+RXN-10980+RXN-15582+RXN-15395+RXN-19682+RXN-19683+RXN-19674+RXN-19675+TRANS-RXN-177+RXN-12053+RXN-12054+RXN-12052+RXN-12046+RXN-12045+RXN-12048+RXN-12047+RXN-12049+RXN-10901+RXN-10899+RXN-10898+RXN-10902+RXN-10903+RXN-10904+RXN0-961+RXN-11197+RXN-11199+RXN-13091+RXN-13092+RXN-13093+RXN0-6677+RXN-21197+RXN-21198+RXN-21193+RXN-21194+TRANS-RXN1YI0-17+RXN-3521+R524-RXN+RXN-13572+FESGSHTHIO-RXN+RXN0-5264+ACONITATEDEHYDR-RXN+ACONITATEHYDR-RXN+RXN-12754+RXN0-7067+RXN0-308+RXN-16822+RXN0-7068+RXN-18710+RXN0-7081+RXN-20755+RXN-20756+RXN-20757+RXN-21407+TRANS-RXN-403+RXN-21408+RXN-21423+RXN-21424+RXN-21425+RXN-18690+RXN-15563+RXN-15564+RXN-12396+RXN-12395+RXN-12394+RXN-14632+RXN-7611+RXN-8846+RXN-14315+RXN-8761+RXN-19344+R343-RXN+R344-RXN+RXN-13824+RXN-13826+2.5.1.32-RXN+RXNARA-8002+RXN-8023+RXN-8024+RXN-8022+RXN-12412+RXN-17472+RXN-17473+CHOLINE-OXIDASEII-RXN+RXN-15581+RXN-14196+RXN-14666+RXN-11031+RXN-11030+RXN-19342+RXN-19343+RXN-8797+RXN-8798+RXN-8799+RXN-8789+RXN-8790+RXN-8791+RXN-12162+RXN-12243+RXN-12244+RXN-11356+RXN-11357+RXN-8025+RXN-8026+RXN-12848+RXN-12850+RXN-12849+RXN-17646+RXN-17647+RXN-17648+RXN-21464+RXN-21465+RXN-10622+RXN-16010+RXN-16011+RXN-16012+RXN-16013+RXN-8538+RXN-8517+RXN-8518+RXN-8532+RXN-8534+RXN-8508+RXN-8510+RXN-12404+RXN-12409+RXN-12408+RXN3O-203+RXN-13718+RXN-8954+1.14.13.78-RXN+RXN-5242+RXN-7580+1.14.13.79-RXN+RXN1F-160+RXN1F-161+RXN-20584+RXN-20583+RXN18C3-8+RXN-20586+RXN-20588+HISTOLDEHYD-RXN+HISTALDEHYD-RXN+RXN-8255+RXN-5502+RXN-8808+RXN-8162+RXN-5063+RXN-9636+RXN-9638+RXN-9639+RXN-9640+RXN-9641+RXN-9642+RXN-5064+RXN-5065+RXN-5066+RXN-5081+RXN-5082+RXN-11071+RXN-8811+RXN-7658+RXN-7659+RXN-7660+RXN-3625+RXN-21586+RXN-14382+RXN-12614+RXN-12621+RXNQT-4301+RXN-14759+RXN-14760+RXN-16204+RXN-16205
1.14.14.48	jasmonoyl-isoleucine-12-hydroxylase	RXN-12421
3.5.1.127	jasmonoyl-L-isoleucine hydrolase	RXN-18481
2.8.2.39	12-hydroxyjasmonate sulfotransferase	RXN-10451
2.4.1.263	abscisic acid glucosyltransferase	RXN-8155
3.2.1.175	abscisic acid glucose ester beta-glucosidase	RXN-11469
4.4.1.1	cystathionine gamma-lyase	RXN-15130
2.5.1.48	cystathionine gamma-synthase	O-SUCCHOMOSERLYASE-RXN+CYSPH-RXN
4.4.1.13	cystathionine beta-lyase	CYSTATHIONINE-BETA-LYASE-RXN+RXN-6763
2.1.1.278	indole-3-acetate carboxyl methyltransferase	RXN-9825
3.1.1.1	methyl indole-3-acetate methylesterase	RXN-10711+RXNQT-4366
2.7.1.23	NAD kinase	NAD-KIN-RXN
7.1.1.2	NADH-ubiquinone oxidoreductase	NADH-DEHYDROG-A-RXN+NADH-PQ-DEHYDROG-RXN
2.7.1.86	NADH kinase	NADH-KINASE-RXN
7.6.2.2	glucosyl-oleandomycin-exporting ATPase	TRANS-RXN-220
3.2.1.-	glucosyl-oleandomycin glucohydrolase	RXN-12920+RXN-12290+RXN-1825
2.7.4.1	polyphosphate kinase	POLYPHOSPHATE-KINASE-RXN
2.1.1.10	homocysteine S-methyltransferase	MMUM-RXN
4.2.1.76	UDP-glucose 4,6-dehydratase	UDP-GLUCOSE-46-DEHYDRATASE-RXN
1.1.1.22	UDP-glucose dehydrogenase	UGD-RXN
4.1.1.35	UDP-D-xylose synthase	UDP-GLUCURONATE-DECARBOXYLASE-RXN
5.1.3.5	UDP-D-xylose 4-epimerase	UDP-ARABINOSE-4-EPIMERASE-RXN
5.1.3.6	UDP-D-glucuronic acid 4-epimerase	UDP-GLUCURONATE-4-EPIMERASE-RXN
4.1.1.-	UDP-D-apiose synthase	RXN-7770+RXN-5641+RXN-11564+RXN-19074+RXN-11718+RXN-21515+RXN-15423+RXN-10897+RXN-20885+RXN-13248
5.1.3.-	UDP-4-dehydro-6-deoxy-alpha-D-glucose 3,5-epimerase	RXN-18332+RXN-13659+RXN-12928+RXN-12942+LYXISOM-RXN+RXN-16259+RXN-14764
1.5.1.42	FMN reductase (NADH)	RXN-9510
1.5.1.38	FMN reductase (NADPH)	RXN-12444
3.1.2.2	long-chain acyl-CoA hydrolase	RXN-16395+PALMITOYL-COA-HYDROLASE-RXN+RXN-9624+RXN-9666+THIOESTER-RXN
3.1.2.14	long-chain acyl-[acyl-carrier-protein] hydrolase	RXN-17108+RXN-9549+RXN-9548+3.1.2.14-RXN+RXN-9550+RXN-9555+RXN-7902
6.2.1.19	long-chain-fatty-acid--protein ligase	6.2.1.19-RXN
1.2.1.50	long-chain acyl-protein thioester reductase	RXN-17107
1.14.14.3	bacterial luciferase	ALKANAL-MONOOXYGENASE-FMN-LINKED-RXN
3.12.1.M1	luciferin regenerating enzyme	RXN-18845
1.1.99.1	choline dehydrogenase	CHD-RXN
1.2.1.8	betaine aldehyde dehydrogenase	BADH-RXN
2.1.1.20	glycine-sarcosine methyltransferase	GLYCINE-N-METHYLTRANSFERASE-RXN
2.1.1.161	dimethylglycine-betaine methyltransferase	RXN-9680
2.1.1.103	S-adenosyl-L-methionine:ethanolamine-phosphate N-methyltransferase	2.1.1.103-RXN+RXN-5642+RXN-5643
2.7.8.2	CDP-choline:1,2-diacyl-sn-glycerol cholinephosphotransferase	RXN-5781+RXN-20511+RXN-17733+RXN-20567
3.1.4.4	phospholipase D	PHOSCHOL-RXN
2.5.1.44/2.5.1.45	homospermidine synthase (spermidine-specific)	2.5.1.45-RXN
4.1.1.19	arginine decarboxylase	ARGDECARBOX-RXN
3.5.3.11	agmatinase	AGMATIN-RXN
3.5.3.12	agmatine deaminase	AGMATINE-DEIMINASE-RXN
3.5.1.53	N-carbamoylputrescine amidohydrolase	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN
3.5.3.1	arginase	ARGINASE-RXN
4.1.1.17	ornithine decarboxylase	ORNDECARBOX-RXN
4.1.1.50	S-adenosylmethionine decarboxylase	SAMDECARB-RXN
2.5.1.16	spermidine synthase	SPERMIDINESYN-RXN
1.5.1.43	carboxyspermidine dehydrogenase	RXN-11566+RXN-11565
2.5.1.104	agmatine aminopropyltransferase	RXN-12514
3.5.3.24	N1-aminopropylagmatine ureohydrolase	RXN-12515
4.1.1.18	lysine decarboxylase	LYSDECARBOX-RXN
2.5.1.-	aminopropylcadaverine synthase	RXN0-5217+RXN-12728+RXN-16582+RXN-15739+RXN-17002+RXN-15502+RXN-16078+RXN-15654+RXN-9584+RXN-16127+RXN-16126+RXN-14291
2.1.4.1	L-arginine:glycine amidinotransferase	GLYCINE-AMIDINOTRANSFERASE-RXN
2.1.1.2	guanidinoacetate N-methyltransferase	GUANIDINOACETATE-N-METHYLTRANSFERASE-RXN
2.7.3.2	creatine kinase	CREATINE-KINASE-RXN
1.2.1.11	aspartate-semialdehyde dehydrogenase	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
2.6.1.76	diaminobutyrate-2-oxoglutarate transaminase	R101-RXN
2.3.1.178	diaminobutanoate acetyltransferase	R102-RXN
4.2.1.108	ectoine synthase	R103-RXN
6.3.1.8/6.3.1.9	glutathionylspermidine synthetase	GSPSYN-RXN
4.1.1.22	histidine decarboxylase	HISTIDINE-DECARBOXYLASE-RXN
2.5.1.126	norspermine synthase	RXN-15698
2.5.1.127	caldopentamine synthase	RXN-15699
4.1.1.86	L-2,4-diaminobutyrate decarboxylase	4.1.1.86-RXN
4.1.1.96	carboxynorspermidine decarboxylase	RXN-9380
1.14.17.-	tyramine beta-monooxygenase	RXN-14645
2.5.1.22	spermine synthase	SPERMINE-SYNTHASE-RXN
1.7.3.3	urate hydroxylase	URATE-OXIDASE-RXN
3.5.2.17	hydroxyisourate hydrolase	3.5.2.17-RXN
1.14.99.29	deoxyhypusine hydroxylase	DEOXYHYPUSINE-MONOOXYGENASE-RXN
3.5.3.15	peptidylarginine deiminase	PROTEIN-ARGININE-DEIMINASE-RXN
5.4.4.-	2-(4-hydroxybenzyl)-malate isomerase	RXN-16494
2.6.1.-	4-(4-hydroxyphenyl)-2-oxobutanoate transaminase	RXN-16496+RXN-2205+RXN-11724+RXN-20774+RXN-15970+RXN-15233+RXN18C3-6+RXN0-7317+3-SULFINOALANINE-AMINOTRANSFERASE-RXN
5.1.1.1	alanine racemase	ALARACECAT-RXN
3.5.3.25	Nomega-hydroxy-L-arginine amidinohydrolase	RXN-14457
2.6.99.3	O-ureido-L-serine synthase	RXN-14458
5.1.1.19	O-ureido-serine racemase	RXN-14459
6.3.3.5	O-ureido-D-serine cyclase	RXN-14460
2.3.1.31	homoserine O-acetyltransferase	HOMOSERINE-O-ACETYLTRANSFERASE-RXN
2.5.1.49	O-acetylhomoserine sulfhydrylase	ACETYLHOMOSER-CYS-RXN
2.3.3.17	2-(2'-methylthio)ethylmalate synthase	RXN-2202
4.2.1.-	benzylmalate isomerase	RXN-14463+RXN-16922+RXN-11717+RXN-11719+RXN-902+RXN-12744+RXN-12704
2.7.2.4	aspartate kinase	ASPARTATEKIN-RXN
1.1.1.3	homoserine dehydrogenase	HOMOSERDEHYDROG-RXN
2.5.1.43	nicotianamine synthase	2.5.1.43-RXN
2.3.1.30	serine acetyltransferase	SERINE-O-ACETTRAN-RXN
5.1.1.18	serine racemase	5.1.1.18-RXN
2.1.1.280	selenocysteine methyltransferase	RXN-11061
2.1.1.12	selenomethionine Se-methyltransferase	RXN-11062
2.5.1.54	3-deoxy-7-phosphoheptulonate synthase	DAHPSYN-RXN
4.2.3.4	3-dehydroquinate synthase	3-DEHYDROQUINATE-SYNTHASE-RXN
4.2.1.10	3-dehydroquinate dehydratase	3-DEHYDROQUINATE-DEHYDRATASE-RXN
1.1.1.25	shikimate dehydrogenase	SHIKIMATE-5-DEHYDROGENASE-RXN
2.7.1.71	shikimate kinase	SHIKIMATE-KINASE-RXN
2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase	2.5.1.19-RXN
4.2.3.5	chorismate synthase	CHORISMATE-SYNTHASE-RXN
5.4.99.5	chorismate mutase	CHORISMATEMUT-RXN
4.2.1.51	prephenate dehydratase	PREPHENATEDEHYDRAT-RXN
2.6.1.1/2.6.1.27/2.6.1.57	phenylalanine transaminase	RXN-10814
1.3.1.12	prephenate dehydrogenase	PREPHENATEDEHYDROG-RXN
2.6.1.1/2.6.1.5/2.6.1.27/2.6.1.57	tyrosine aminotransferase	TYROSINE-AMINOTRANSFERASE-RXN
4.1.3.27	anthranilate synthase	ANTHRANSYN-RXN
2.4.2.18	anthranilate phosphoribosyl transferase	PRTRANS-RXN
5.3.1.24	phosphoribosylanthranilate isomerase	PRAISOM-RXN
4.1.1.48	indole-3-glycerol phosphate synthase	IGPSYN-RXN
4.1.2.8	indoleglycerol phosphate aldolase	RXN0-2381
4.2.1.122	tryptophan synthase	RXN0-2382
2.2.1.6	acetolactate synthase	ACETOLACTSYN-RXN+ACETOOHBUTSYN-RXN
1.1.1.86	(R)-2,3-dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)	ACETOOHBUTREDUCTOISOM-RXN+ACETOLACTREDUCTOISOM-RXN
4.2.1.9	2,3-dihydroxy-3-methylvalerate hydro-lyase	DIHYDROXYMETVALDEHYDRAT-RXN+DIHYDROXYISOVALDEHYDRAT-RXN
2.6.1.42	isoleucine transaminase	BRANCHED-CHAINAMINOTRANSFERILEU-RXN+BRANCHED-CHAINAMINOTRANSFERVAL-RXN
2.3.3.13	2-isopropylmalate synthase	2-ISOPROPYLMALATESYN-RXN
2.6.1.6/2.6.1.42	leucine transaminase	BRANCHED-CHAINAMINOTRANSFERLEU-RXN
4.3.1.1	aspartate ammonia-lyase	ASPARTASE-RXN
6.3.1.1	asparagine synthetase	ASNSYNA-RXN
3.5.1.1/3.5.1.38	asparaginase	ASPARAGHYD-RXN
4.3.3.7	4-hydroxy-tetrahydrodipicolinate synthase	DIHYDRODIPICSYN-RXN
1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase	RXN-14014
2.3.1.117	tetrahydrodipicolinate succinylase	TETHYDPICSUCC-RXN
2.6.1.17	N-succinyldiaminopimelate aminotransferase	SUCCINYLDIAMINOPIMTRANS-RXN
3.5.1.18	succinyl-diaminopimelate desuccinylase	SUCCDIAMINOPIMDESUCC-RXN
5.1.1.7	diaminopimelate epimerase	DIAMINOPIMEPIM-RXN
4.1.1.20	diaminopimelate decarboxylase	DIAMINOPIMDECARB-RXN
2.3.1.46	homoserine O-succinyltransferase	HOMSUCTRAN-RXN
2.1.1.14	cobalamin-independent homocysteine transmethylase	HOMOCYSMET-RXN
2.1.1.13	cobalamin-dependent methionine synthase	HOMOCYSMETB12-RXN
2.7.1.39	homoserine kinase	HOMOSERKIN-RXN
4.2.3.1	threonine synthase	THRESYN-RXN
2.6.1.83	L,L-diaminopimelate aminotransferase	RXN-7737
1.3.1.78	arogenate dehydrogenase	RXN-5682
1.1.1.95	D-3-phosphoglycerate dehydrogenase	PGLYCDEHYDROG-RXN
2.6.1.52	3-phosphoserine aminotransferase	PSERTRANSAM-RXN+PSERTRANSAMPYR-RXN
3.1.3.3	phosphoserine phosphatase	RXN0-5114
2.1.2.1	5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase	GLYOHMETRANS-RXN
1.8.4.8	phosphoadenosine phosphosulfate reductase	1.8.4.8-RXN
1.8.1.2	assimilatory sulfite reductase (NADPH)	SULFITE-REDUCT-RXN
4.2.1.22	cystathionine beta-synthase	CYSTATHIONINE-BETA-SYNTHASE-RXN+RXN66-562+RXN66-534+RXN-19038
6.1.1.24	glutamyl-tRNAGln synthetase	RXN-9386
3.5.1.2/3.5.1.38	glutamyl-tRNA(Gln) amidotransferase	GLUTAMIN-RXN
2.5.1.73	Sep-tRNA:Cys-tRNA synthase	RXN-10719
6.1.1.14	glycine--tRNA ligase	GLYCINE--TRNA-LIGASE-RXN
6.1.1.21	histidine--tRNA ligase	HISTIDINE--TRNA-LIGASE-RXN
6.1.1.6	lysine--tRNA ligase	LYSINE--TRNA-LIGASE-RXN
6.1.1.10	methionine--tRNA ligase	METHIONINE--TRNA-LIGASE-RXN
